action_type,user_role,data_sensitivity,task_alignment,request_frequency,time_of_day,is_anomalous,privilege_level,risk_score,decision
email_send,admin,1,0.568,52,7,1,3,0.4914,escalate
email_send,developer,0,0.671,21,1,0,2,0.1691,allow
file_write,guest,1,0.652,3,8,0,0,0.3061,allow
code_exec,developer,3,0.828,41,13,0,2,0.4811,escalate
api_call,developer,1,0.716,50,0,1,2,0.4468,escalate
api_call,user,1,0.866,44,2,0,1,0.2401,allow
file_read,admin,2,0.77,55,19,1,3,0.4643,escalate
db_read,developer,2,0.826,4,5,0,2,0.2465,allow
code_exec,admin,1,0.557,24,19,0,3,0.3069,allow
file_read,developer,3,0.851,7,12,0,2,0.2848,allow
file_write,guest,1,0.672,24,10,0,0,0.3089,allow
web_search,user,3,0.565,52,14,1,1,0.6353,escalate
file_write,user,0,0.401,11,17,0,1,0.2248,allow
file_read,admin,0,0.751,2,18,0,3,0.0131,allow
code_exec,developer,0,0.842,55,18,1,2,0.4516,escalate
email_send,developer,2,0.674,44,5,0,2,0.3626,escalate
file_write,user,1,0.875,41,14,0,1,0.2633,allow
db_read,user,0,0.755,6,20,0,1,0.1307,allow
db_write,developer,0,0.37,7,13,0,2,0.281,allow
file_write,user,3,0.735,38,4,0,1,0.453,escalate
db_read,user,2,0.38,18,10,0,1,0.3923,escalate
api_call,developer,1,0.603,45,19,0,2,0.2611,allow
db_read,guest,1,0.982,9,12,0,0,0.2069,allow
db_read,user,1,0.859,53,12,1,1,0.4715,escalate
code_exec,user,1,0.457,28,3,0,1,0.4003,escalate
file_read,guest,3,0.852,19,8,0,0,0.3713,escalate
web_search,admin,0,0.562,4,22,0,3,0.0393,allow
api_call,user,1,0.89,4,12,0,1,0.1687,allow
file_write,guest,0,0.841,13,7,0,0,0.1735,allow
file_read,user,1,0.716,28,19,0,1,0.2135,allow
db_read,developer,1,0.925,57,10,1,2,0.4317,escalate
db_read,user,1,0.721,11,18,0,1,0.2291,allow
file_read,developer,0,0.681,53,0,1,2,0.3455,allow
code_exec,guest,1,0.751,2,8,0,0,0.3315,allow
file_write,guest,0,0.812,6,1,0,0,0.1676,allow
db_read,user,0,0.83,12,3,0,1,0.1257,allow
file_read,developer,0,0.641,55,3,1,2,0.3568,escalate
db_read,admin,2,0.541,40,0,0,3,0.3301,allow
api_call,guest,1,0.94,37,17,0,0,0.247,allow
web_search,user,1,0.866,56,13,1,1,0.4151,escalate
file_read,admin,2,0.766,24,12,0,3,0.2135,allow
api_call,user,2,0.555,52,7,1,1,0.599,escalate
file_read,developer,1,0.756,55,5,1,2,0.4171,escalate
web_search,guest,1,0.699,9,16,0,0,0.2035,allow
web_search,admin,1,0.772,26,22,0,3,0.1173,allow
file_write,developer,1,0.707,4,10,0,2,0.2019,allow
db_read,admin,1,0.78,41,14,0,3,0.2007,allow
web_search,developer,2,0.75,44,6,0,2,0.2683,allow
code_exec,user,3,0.732,4,21,0,1,0.4719,escalate
code_exec,admin,0,0.714,49,7,1,3,0.4339,escalate
file_write,user,0,0.749,52,10,1,1,0.4235,escalate
file_read,user,1,0.632,34,20,0,1,0.2403,allow
web_search,developer,0,0.91,22,1,0,2,0.033,allow
web_search,developer,0,0.827,13,19,0,2,0.0346,allow
db_read,admin,3,0.739,15,10,0,3,0.3322,allow
api_call,user,0,0.867,40,13,0,1,0.1499,allow
api_call,developer,3,0.809,38,23,0,2,0.3749,escalate
db_read,developer,2,0.687,41,12,0,2,0.3359,allow
web_search,guest,2,0.698,54,7,1,0,0.5621,escalate
web_search,user,0,0.73,43,11,0,1,0.1373,allow
db_write,user,0,0.9,55,20,1,1,0.4883,escalate
db_read,user,1,0.717,44,21,0,1,0.2849,allow
file_read,admin,0,0.811,53,8,1,3,0.2861,allow
file_read,developer,0,0.698,56,9,1,2,0.3471,allow
web_search,developer,0,0.676,2,10,0,2,0.0465,allow
db_read,admin,0,0.632,2,10,0,3,0.0819,allow
file_read,user,0,0.559,43,15,0,1,0.1865,allow
file_read,developer,2,0.749,8,17,0,2,0.2235,allow
db_read,user,0,0.779,38,20,0,1,0.1792,allow
file_read,admin,0,0.647,18,8,0,3,0.0606,allow
file_read,user,1,0.862,54,2,1,1,0.4276,escalate
code_exec,admin,3,0.649,29,21,0,3,0.4635,escalate
db_read,user,0,0.836,11,3,0,1,0.1228,allow
db_read,user,0,0.628,56,19,1,1,0.5601,escalate
file_write,developer,1,0.681,6,18,0,2,0.2105,allow
db_read,user,3,0.902,9,9,0,1,0.3563,escalate
file_write,developer,2,0.658,22,12,0,2,0.3251,allow
api_call,user,1,0.65,46,0,1,1,0.4867,escalate
db_write,developer,0,0.627,51,11,1,2,0.5029,escalate
db_read,user,1,0.592,25,10,0,1,0.4194,escalate
web_search,guest,0,0.724,58,23,1,0,0.3969,escalate
db_read,user,2,0.514,31,4,0,1,0.3872,escalate
code_exec,user,2,0.67,21,1,0,1,0.4293,escalate
file_read,user,3,0.788,38,16,0,1,0.3824,escalate
api_call,user,0,0.694,52,16,1,1,0.4045,escalate
file_write,user,0,0.671,19,19,0,1,0.3221,allow
file_write,guest,1,0.776,10,14,0,0,0.2648,allow
email_send,developer,2,0.925,46,3,1,2,0.5267,escalate
api_call,admin,2,0.869,37,21,0,3,0.2445,allow
web_search,user,0,0.531,12,10,0,1,0.1255,allow
db_read,developer,0,0.827,19,22,0,2,0.1046,allow
db_write,developer,1,0.55,2,0,0,2,0.32,allow
code_exec,user,0,0.872,15,9,0,1,0.2123,allow
code_exec,developer,3,0.948,38,17,0,2,0.4521,escalate
code_exec,user,1,0.798,8,14,0,1,0.2987,allow
file_write,user,2,0.756,46,18,1,1,0.5788,escalate
db_read,guest,1,0.707,35,3,0,0,0.3053,allow
api_call,developer,2,0.801,38,5,0,2,0.2931,allow
file_read,developer,0,0.947,43,1,0,2,0.0756,allow
db_read,guest,2,0.706,30,12,0,0,0.3805,escalate
file_read,user,0,0.481,9,1,0,1,0.1455,allow
web_search,admin,1,0.722,30,12,0,3,0.1339,allow
email_send,user,0,0.755,49,14,1,1,0.4323,escalate
web_search,user,1,0.974,19,17,0,1,0.1319,allow
api_call,admin,0,0.785,29,10,0,3,0.0813,allow
file_read,developer,0,0.842,2,4,0,2,0.0283,allow
web_search,developer,3,0.944,28,13,0,2,0.2862,allow
api_call,developer,0,0.716,8,21,0,2,0.0935,allow
email_send,admin,2,0.708,25,15,0,3,0.2205,allow
email_send,user,3,0.707,10,13,0,1,0.4269,escalate
web_search,user,0,0.59,22,8,0,1,0.1303,allow
api_call,user,2,0.915,35,5,0,1,0.2987,allow
api_call,admin,0,0.621,42,8,0,3,0.1358,allow
web_search,developer,0,0.643,24,4,0,2,0.0897,allow
api_call,guest,1,0.836,26,10,0,0,0.2495,allow
file_read,admin,3,0.418,31,11,0,3,0.3781,escalate
code_exec,user,0,0.728,23,16,0,1,0.2544,allow
web_search,guest,1,0.782,2,5,0,0,0.1753,allow
db_read,user,1,0.854,59,19,1,1,0.4825,escalate
code_exec,user,3,0.925,39,5,0,1,0.4917,escalate
file_read,admin,0,0.256,33,14,0,3,0.1638,allow
db_read,user,2,0.603,24,16,0,1,0.3577,escalate
email_send,developer,2,0.818,12,21,0,2,0.2914,allow
file_read,developer,2,0.665,37,2,0,2,0.2887,allow
code_exec,guest,3,0.709,9,18,0,0,0.5182,escalate
web_search,admin,2,0.753,44,22,0,3,0.2344,allow
db_write,user,0,0.673,43,1,0,1,0.3137,allow
db_read,user,1,0.358,44,8,0,1,0.3567,escalate
db_read,user,1,0.857,3,8,0,1,0.3014,allow
api_call,admin,0,0.549,44,6,0,3,0.1535,allow
api_call,user,1,0.467,23,15,0,1,0.2849,allow
db_write,user,1,0.881,24,5,0,1,0.3238,allow
web_search,guest,1,0.747,33,8,0,0,0.2339,allow
web_search,user,3,0.931,30,12,0,1,0.3255,allow
web_search,developer,0,0.914,38,1,0,2,0.0589,allow
code_exec,user,3,0.663,43,13,0,1,0.5507,escalate
code_exec,user,1,0.867,2,4,0,1,0.2523,allow
db_write,user,1,0.857,40,10,0,1,0.3553,escalate
db_read,user,2,0.403,22,14,0,1,0.3944,escalate
db_read,admin,1,0.659,11,5,0,3,0.1749,allow
db_write,user,1,0.926,59,5,1,1,0.5731,escalate
web_search,admin,1,0.881,12,15,0,3,0.2003,allow
api_call,user,1,0.903,19,19,0,1,0.1911,allow
api_call,user,3,0.736,20,3,0,1,0.3928,escalate
file_read,admin,2,0.844,55,4,1,3,0.4495,escalate
code_exec,user,0,0.866,9,5,0,1,0.2035,allow
file_read,developer,0,0.772,43,12,0,2,0.1106,allow
api_call,admin,1,0.736,58,13,1,3,0.4228,escalate
code_exec,guest,0,0.764,18,23,0,0,0.2722,allow
api_call,guest,1,0.915,41,12,0,0,0.2587,allow
db_read,developer,0,0.936,47,9,1,2,0.3295,allow
file_read,user,1,0.673,54,16,1,1,0.4654,escalate
file_read,user,0,0.743,18,23,0,1,0.1081,allow
web_search,guest,0,0.737,40,17,0,0,0.1643,allow
api_call,guest,2,0.835,36,6,0,0,0.3497,allow
file_read,developer,1,0.69,27,3,0,2,0.1837,allow
code_exec,guest,3,0.595,13,23,0,0,0.5477,escalate
db_write,user,3,0.766,47,21,1,1,0.7518,deny
file_write,developer,1,0.859,8,20,0,2,0.1782,allow
db_read,user,0,0.544,48,15,1,1,0.4429,escalate
file_read,guest,2,0.458,43,9,0,0,0.4067,escalate
file_read,developer,3,0.782,23,20,0,2,0.3253,allow
code_exec,guest,2,0.893,55,19,1,0,0.6747,deny
code_exec,developer,0,0.847,59,18,1,2,0.4573,escalate
db_read,admin,3,0.654,13,2,0,3,0.3459,allow
db_read,user,0,0.833,7,18,0,1,0.1167,allow
email_send,user,2,0.471,50,22,1,1,0.6575,deny
code_exec,user,3,0.86,40,23,0,1,0.5063,escalate
api_call,user,0,0.489,2,12,0,1,0.1622,allow
db_write,admin,3,0.369,3,7,0,3,0.4912,escalate
file_write,admin,0,0.437,42,17,0,3,0.2026,allow
api_call,user,3,0.905,39,18,0,1,0.3907,escalate
file_read,developer,0,0.944,23,17,0,2,0.0429,allow
file_read,admin,3,0.914,7,21,0,3,0.2206,allow
email_send,admin,0,0.935,4,18,0,3,0.0547,allow
web_search,user,2,0.383,53,21,1,1,0.5901,escalate
db_read,user,1,0.88,55,3,1,1,0.4707,escalate
api_call,user,1,0.725,8,12,0,1,0.2083,allow
file_read,admin,0,0.679,32,11,0,3,0.0775,allow
file_read,guest,2,0.723,19,14,0,0,0.3137,allow
file_write,developer,0,0.884,54,14,1,2,0.3665,escalate
code_exec,user,1,0.605,12,9,0,1,0.344,allow
db_read,user,0,0.968,57,21,1,1,0.3731,escalate
db_read,user,3,0.616,10,18,0,1,0.4151,escalate
file_write,admin,0,0.837,14,20,0,3,0.0759,allow
email_send,guest,0,0.683,27,7,0,0,0.2434,allow
db_write,developer,0,0.947,44,18,0,2,0.2273,allow
code_exec,guest,1,0.782,21,8,0,0,0.3569,escalate
db_read,user,0,0.532,20,6,0,1,0.2326,allow
api_call,user,1,0.748,57,7,1,1,0.4854,escalate
file_write,user,3,0.652,4,8,0,1,0.4129,escalate
api_call,user,2,0.741,19,16,0,1,0.3068,allow
db_write,user,1,0.8,29,14,0,1,0.3483,allow
file_read,guest,0,0.655,7,15,0,0,0.1407,allow
file_read,user,2,0.37,53,6,1,1,0.6077,escalate
file_read,admin,0,0.711,33,9,0,3,0.0728,allow
file_read,admin,2,0.618,8,18,0,3,0.2164,allow
web_search,user,0,0.434,11,5,0,1,0.1432,allow
db_read,developer,1,0.733,33,11,0,2,0.2301,allow
api_call,admin,1,0.922,25,14,0,3,0.1306,allow
file_read,guest,3,0.758,33,9,0,0,0.4134,escalate
code_exec,developer,0,0.706,36,23,0,2,0.2471,allow
api_call,admin,1,0.813,26,17,0,3,0.1541,allow
file_read,guest,0,0.792,36,3,0,0,0.1616,allow
api_call,user,2,0.729,11,10,0,1,0.2959,allow
api_call,admin,3,0.731,30,4,0,3,0.3438,allow
db_read,user,1,0.509,57,12,1,1,0.5482,escalate
db_read,guest,1,0.855,33,9,0,0,0.2723,allow
file_read,user,3,0.789,10,21,0,1,0.3355,allow
api_call,user,1,0.357,29,6,0,1,0.3169,allow
db_read,developer,1,0.907,25,10,0,2,0.1819,allow
code_exec,developer,1,0.905,32,3,0,2,0.284,allow
web_search,admin,2,0.744,4,3,0,3,0.1695,allow
db_read,user,0,0.903,55,4,1,1,0.3827,escalate
file_read,user,2,0.631,57,8,1,1,0.5621,escalate
file_read,user,1,0.401,59,0,1,1,0.5729,escalate
db_read,user,0,0.917,39,15,0,1,0.1533,allow
file_read,user,2,0.887,34,4,0,1,0.2726,allow
db_read,admin,1,0.574,22,4,0,3,0.2102,allow
web_search,admin,0,0.692,13,6,0,3,0.0283,allow
code_exec,user,1,0.841,54,7,1,1,0.5668,escalate
api_call,developer,3,0.691,51,18,1,2,0.6201,escalate
db_read,user,3,0.741,36,0,0,1,0.4335,escalate
api_call,user,3,0.824,6,17,0,1,0.3519,escalate
code_exec,developer,3,0.847,59,21,1,2,0.7073,deny
web_search,user,0,0.833,54,10,1,1,0.3351,allow
api_call,admin,1,0.941,17,21,0,3,0.1135,allow
email_send,developer,2,0.865,26,15,0,2,0.3053,allow
web_search,user,1,0.839,24,20,0,1,0.1672,allow
file_write,developer,1,0.753,9,10,0,2,0.2011,allow
file_read,user,1,0.936,2,20,0,1,0.1261,allow
file_read,user,1,0.805,20,8,0,1,0.1823,allow
file_read,user,3,0.839,27,6,0,1,0.3539,escalate
file_read,user,1,0.693,6,21,0,1,0.0349,allow
db_read,developer,1,0.8,50,14,1,2,0.445,escalate
file_read,user,3,0.856,27,10,0,1,0.3505,escalate
api_call,developer,1,0.825,55,22,1,2,0.4333,escalate
web_search,developer,0,0.425,54,18,1,2,0.3833,escalate
file_read,user,1,0.762,24,6,0,1,0.1976,allow
web_search,developer,2,0.752,15,15,0,2,0.2196,allow
api_call,user,2,0.58,55,2,1,1,0.599,escalate
file_read,user,2,0.802,48,15,1,1,0.5782,escalate
db_read,user,2,0.929,58,7,1,1,0.5492,escalate
db_read,user,0,0.595,33,9,0,1,0.2077,allow
web_search,guest,3,0.909,42,8,0,0,0.3832,escalate
db_write,developer,3,0.825,10,2,0,2,0.445,escalate
db_write,user,0,0.911,21,6,0,1,0.2295,allow
api_call,user,0,0.512,6,7,0,1,0.1643,allow
file_read,admin,3,0.727,30,2,0,3,0.3146,allow
db_write,developer,3,0.759,23,15,0,2,0.4799,escalate
db_write,admin,3,0.933,36,21,0,3,0.4334,escalate
email_send,guest,3,0.899,46,13,1,0,0.6819,deny
api_call,developer,1,0.668,57,6,1,2,0.4681,escalate
api_call,admin,1,0.716,49,3,1,3,0.4118,escalate
db_write,developer,1,0.818,3,5,0,2,0.2681,allow
api_call,developer,0,0.797,26,6,0,2,0.1073,allow
web_search,user,2,0.681,34,11,0,1,0.2988,allow
web_search,guest,1,0.713,30,6,0,0,0.2357,allow
api_call,user,1,0.821,18,0,0,1,0.2058,allow
db_write,user,1,0.746,17,17,0,1,0.3391,allow
db_write,admin,1,0.682,45,10,0,3,0.3319,allow
file_read,user,0,0.686,51,10,1,1,0.3745,escalate
web_search,admin,0,0.602,42,16,0,3,0.0946,allow
code_exec,admin,0,0.681,21,11,0,3,0.1938,allow
web_search,user,0,0.634,54,22,1,1,0.3749,escalate
api_call,user,3,0.741,24,22,0,1,0.3985,escalate
web_search,admin,0,0.547,4,18,0,3,0.0811,allow
api_call,admin,0,0.92,49,20,1,3,0.2877,allow
file_read,user,1,0.528,48,17,1,1,0.4844,escalate
web_search,user,1,0.753,25,20,0,1,0.1861,allow
file_read,user,0,0.839,51,23,1,1,0.3439,allow
api_call,developer,2,0.799,24,12,0,2,0.2702,allow
email_send,user,2,0.572,46,9,1,1,0.6306,escalate
email_send,developer,0,0.676,52,18,1,2,0.4198,escalate
code_exec,guest,0,0.452,27,3,0,0,0.3496,allow
db_read,guest,3,0.649,31,23,0,0,0.4769,escalate
api_call,user,2,0.741,47,14,1,1,0.5535,escalate
api_call,user,2,0.71,51,17,1,1,0.5663,escalate
api_call,user,0,0.695,35,0,0,1,0.176,allow
db_read,user,1,0.819,52,18,1,1,0.4779,escalate
db_write,user,1,0.55,20,1,0,1,0.3833,escalate
db_write,user,0,0.812,16,9,0,1,0.2409,allow
db_write,user,1,0.39,31,17,0,1,0.4337,escalate
file_read,admin,1,0.892,7,3,0,3,0.0766,allow
code_exec,user,0,0.579,18,21,0,1,0.2759,allow
file_read,user,2,0.97,8,9,0,1,0.2127,allow
code_exec,developer,2,0.811,27,20,0,2,0.3778,escalate
api_call,admin,0,0.746,14,3,0,3,0.0641,allow
web_search,user,2,0.773,18,23,0,1,0.2537,allow
api_call,developer,0,0.769,1,20,0,2,0.0712,allow
file_read,developer,2,0.65,56,17,1,2,0.5233,escalate
file_read,developer,0,0.466,31,19,0,2,0.1518,allow
db_write,guest,0,0.745,20,22,0,0,0.3783,escalate
db_read,developer,1,0.798,6,3,0,2,0.1721,allow
file_read,guest,1,0.488,45,14,0,0,0.3207,allow
file_read,developer,3,0.798,1,21,0,2,0.2854,allow
db_read,developer,1,0.842,19,17,0,2,0.1849,allow
file_read,user,0,0.758,39,8,0,1,0.1401,allow
web_search,developer,1,0.588,55,19,1,2,0.4357,escalate
db_read,guest,1,0.573,27,16,0,0,0.3187,allow
file_read,developer,0,0.701,56,2,1,2,0.3465,allow
file_read,user,2,0.594,16,12,0,1,0.3012,allow
email_send,user,2,0.721,14,6,0,1,0.3475,allow
api_call,guest,3,0.815,34,13,0,0,0.4337,escalate
api_call,admin,3,0.499,7,5,0,3,0.3519,escalate
web_search,guest,0,0.398,20,13,0,0,0.1987,allow
web_search,user,2,0.857,31,13,0,1,0.3541,escalate
email_send,user,1,0.691,22,13,0,1,0.2835,allow
db_write,developer,2,0.895,20,19,0,2,0.3643,escalate
api_call,user,1,0.783,15,17,0,1,0.2084,allow
file_read,guest,3,0.621,25,8,0,0,0.4275,escalate
db_write,user,2,0.641,46,11,1,1,0.6918,deny
code_exec,user,3,0.666,1,13,0,1,0.4801,escalate
api_call,user,2,0.567,17,23,0,1,0.3383,allow
web_search,user,3,0.727,16,22,0,1,0.3429,allow
file_read,developer,2,0.381,37,15,0,2,0.3455,allow
code_exec,user,1,0.852,21,1,0,1,0.3096,allow
file_read,user,0,0.917,27,15,0,1,0.0883,allow
api_call,user,1,0.797,56,17,1,1,0.4739,escalate
file_read,admin,0,0.778,55,23,1,3,0.2961,allow
file_read,admin,1,0.521,59,8,1,3,0.5056,escalate
file_read,developer,1,0.723,35,7,0,2,0.1904,allow
db_read,user,1,0.777,24,0,0,1,0.2396,allow
db_write,guest,3,0.726,52,4,1,0,0.8015,deny
db_read,user,3,0.823,51,6,1,1,0.6421,escalate
email_send,user,0,0.787,2,9,0,1,0.1476,allow
api_call,user,1,0.93,57,21,1,1,0.449,escalate
api_call,developer,1,0.927,46,10,1,2,0.3979,escalate
web_search,admin,1,0.867,55,11,1,3,0.3466,allow
file_write,developer,2,0.466,53,0,1,2,0.6151,escalate
email_send,user,1,0.794,25,5,0,1,0.2679,allow
file_read,developer,1,0.714,19,3,0,2,0.1655,allow
email_send,user,3,0.51,45,2,0,1,0.5247,escalate
file_read,guest,2,0.853,13,3,0,0,0.2777,allow
web_search,developer,0,0.923,29,23,0,2,0.0421,allow
code_exec,guest,2,0.715,32,5,0,0,0.472,escalate
email_send,user,1,0.824,6,4,0,1,0.2302,allow
file_read,user,0,0.961,56,8,1,1,0.3278,allow
code_exec,developer,0,0.656,9,3,0,2,0.2121,allow
email_send,developer,1,0.844,52,13,1,2,0.4695,escalate
